datetime_utc,second,frame,bee1_x,bee1_y,bee1_r,bee1_p
2022-05-05 12:47:15+00:00,232.0,5800.0,-169.5949326011043,-24.479403248671066,171.35250901981027,3.2849430137849427
2022-05-05 12:47:15.200000+00:00,232.2,5805.0,-165.97184202690073,-38.792805422153904,170.44510582097564,3.371201920657295
2022-05-05 12:47:15.400000+00:00,232.4,5810.0,-160.734004244043,-52.37396498363411,169.05162622237907,3.456586349330053
2022-05-05 12:47:15.600000+00:00,232.6,5815.0,-154.86533846674538,-66.5879403439981,168.57409901190474,3.5476680675557466
2022-05-05 12:47:15.800000+00:00,232.8,5820.0,-145.9140705436456,-80.30440909686993,166.55243649677848,3.644707696851693
2022-05-05 12:47:16+00:00,233.0,5825.0,-138.3900850938131,-92.31695982760311,166.35575350460266,3.7298798655107386
2022-05-05 12:47:16.200000+00:00,233.2,5830.0,-132.3784320049872,-103.505035522685,168.03970256654023,3.805191373295607
2022-05-05 12:47:16.400000+00:00,233.4,5835.0,-124.61318292583728,-113.93574476957627,168.8484506742843,3.88226072225914
2022-05-05 12:47:16.600000+00:00,233.6,5840.0,-115.90119917010114,-125.01638348785924,170.47634472105196,3.964808059138808
2022-05-05 12:47:16.800000+00:00,233.8,5845.0,-104.78790151517642,-134.93963789496837,170.84850066412494,4.0521088365160445
2022-05-05 12:47:17+00:00,234.0,5850.0,-91.6953634951733,-143.12818875719032,169.98152282947066,4.142613368223232
2022-05-05 12:47:17.200000+00:00,234.2,5855.0,-78.3790127439934,-150.40441769814862,169.6017644420076,4.231987107467943
2022-05-05 12:47:17.400000+00:00,234.4,5860.0,-64.30994633838249,-157.3280492330223,169.96436177479657,4.324350861660498
2022-05-05 12:47:17.600000+00:00,234.6,5865.0,-49.95842454102943,-162.22820212762724,169.74638066298797,4.413653254604339
2022-05-05 12:47:17.800000+00:00,234.8,5870.0,-34.5532944645338,-165.79419231836582,169.35655985184647,4.506919381563864
2022-05-05 12:47:18+00:00,235.0,5875.0,-16.831251496161237,-168.55565404870143,169.39391824594102,4.612863150278992
2022-05-05 12:47:18.200000+00:00,235.2,5880.0,-0.0502835893111594,-169.10976920580768,169.10977668154166,4.71209163749276
2022-05-05 12:47:18.400000+00:00,235.4,5885.0,15.028235844271718,-167.64930095901522,168.3215256128506,4.801790938105548
2022-05-05 12:47:18.600000+00:00,235.6,5890.0,31.459184553323645,-166.10123079856243,169.05413087398185,4.899569510270624
2022-05-05 12:47:18.800000+00:00,235.8,5895.0,46.15624552287894,-163.51715872408428,169.90662199562928,4.987502867222396
2022-05-05 12:47:19+00:00,236.0,5900.0,58.67700381017063,-159.90668846122756,170.33243904428443,5.064079342589504
2022-05-05 12:47:19.200000+00:00,236.2,5905.0,72.43239362360298,-155.04772026968342,171.1322506334518,5.149422764654432
2022-05-05 12:47:19.400000+00:00,236.4,5910.0,87.29401621973416,-146.9622427102565,170.93316252324928,5.248377209480031
2022-05-05 12:47:19.600000+00:00,236.6,5915.0,103.28383421394074,-135.76441140846464,170.585831225866,5.36273960096896
2022-05-05 12:47:19.800000+00:00,236.8,5920.0,117.4112918933286,-122.38071943261532,169.59496440904402,5.47706620203247
2022-05-05 12:47:20+00:00,237.0,5925.0,128.33732033275234,-107.21824585180312,167.23103788988809,5.587204512197049
2022-05-05 12:47:20.200000+00:00,237.2,5930.0,139.36472668992172,-92.08259883960744,167.03811557369968,5.699303258508147
2022-05-05 12:47:20.400000+00:00,237.4,5935.0,151.23466056594324,-77.81273732199419,170.078642533499,5.807992007616073
2022-05-05 12:47:20.600000+00:00,237.6,5940.0,158.2700361357058,-63.7420748696107,170.62372767900916,5.900316917712349
2022-05-05 12:47:20.800000+00:00,237.8,5945.0,161.7138696575003,-48.58583251912541,168.85484524045944,5.991321956614271
2022-05-05 12:47:21+00:00,238.0,5950.0,165.3589106109605,-31.99655583971088,168.4260932992491,6.092049780916329
2022-05-05 12:47:21.200000+00:00,238.2,5955.0,168.94473852808645,-15.048440599049838,169.61362044596132,6.194346608348119
2022-05-05 12:47:21.400000+00:00,238.4,5960.0,170.23073876113807,1.8259291096008796,170.24053112075316,0.0107257896106008
2022-05-05 12:47:21.600000+00:00,238.6,5965.0,169.93452121993445,16.703964426960884,170.7535180598793,0.0979817112055025
2022-05-05 12:47:21.800000+00:00,238.8,5970.0,168.31264731063376,33.89620248964525,171.69187455419322,0.1987301327516445
2022-05-05 12:47:22+00:00,239.0,5975.0,163.91681364089783,52.78221406691596,172.20535391209697,0.3115216413690849
